date,bitcoin,SP500,gold,oil,euro
1/3/2017,1030.82,2257.83,1148.65,52.36,1.0416
1/4/2017,1129.87,2270.75,1165.9,53.26,1.0476
1/5/2017,1005.81,2269,1173.05,53.77,1.0598
1/6/2017,895.67,2276.98,1178,53.98,1.056
1/9/2017,899.35,2268.9,1176.1,51.95,1.0576
1/10/2017,904.79,2268.9,1183.2,50.82,1.0572
1/11/2017,775.98,2275.32,1187.55,52.19,1.0501
1/12/2017,802.83,2270.44,1206.65,53.01,1.0666
1/13/2017,826.12,2274.64,1196.35,52.36,1.0625
1/17/2017,904.45,2267.89,1217.5,52.45,1.0695
1/18/2017,884.25,2271.89,1212.5,51.12,1.0682
1/19/2017,898.02,2263.69,1203.35,51.39,1.063
1/23/2017,912.69,2265.2,1213.75,52.77,1.074
1/24/2017,885.65,2280.07,1213.3,52.38,1.0749
1/25/2017,894.11,2298.37,1203.5,52.14,1.0743
1/26/2017,915.1,2296.68,1191.55,53.24,1.067
1/27/2017,918.56,2294.69,1184.2,53.18,1.069
1/30/2017,920.24,2280.9,1189.85,52.63,1.0681
1/31/2017,967.67,2278.87,1198.8,52.75,1.0794
2/1/2017,987.35,2279.55,1210,53.9,1.0758
2/2/2017,1007.79,2280.85,1224.05,53.55,1.0802
2/3/2017,1018.11,2297.42,1213.05,53.81,1.0792
2/6/2017,1024.61,2292.56,1221.85,53.01,1.0731
2/7/2017,1052.54,2293.08,1231,52.19,1.069
2/8/2017,1054.34,2294.67,1235.6,52.37,1.0708
2/9/2017,988.95,2307.87,1241.75,52.99,1.0658
2/10/2017,993.08,2316.1,1225.75,53.84,1.065
2/13/2017,996.86,2328.25,1229.4,52.96,1.0603
2/14/2017,1009.25,2337.58,1229.65,53.21,1.0577
2/15/2017,1009.12,2349.25,1225.15,53.11,1.0597
2/16/2017,1034.08,2347.22,1236.75,53.41,1.066
2/17/2017,1053.12,2351.16,1241.4,53.41,1.0614
2/21/2017,1123.66,2365.38,1228.7,54.02,1.0551
2/22/2017,1122.19,2362.82,1237.5,53.61,1.0555
2/23/2017,1178.38,2363.81,1237.35,54.48,1.0586
2/24/2017,1180.92,2367.34,1255.35,53.99,1.058
2/27/2017,1194.28,2369.75,1256.25,54.04,1.0624
2/28/2017,1190.89,2363.64,1251.9,54,1.0618
3/1/2017,1230.02,2395.96,1246.05,53.82,1.0564
3/2/2017,1260.92,2381.92,1243.3,52.63,1.0514
3/3/2017,1290.79,2383.12,1228.75,53.33,1.0552
3/6/2017,1280.87,2375.31,1231.15,53.19,1.0586
3/7/2017,1232.43,2368.39,1223.7,52.68,1.0582
3/8/2017,1150.48,2362.98,1213.3,49.83,1.0547
3/9/2017,1191.81,2364.87,1204.6,48.75,1.0586
3/10/2017,1117.02,2372.6,1196.55,48.05,1.0667
3/13/2017,1243.24,2373.47,1207.8,47.95,1.067
3/14/2017,1246.31,2365.45,1203.55,47.24,1.0645
3/15/2017,1259.6,2385.26,1202.25,48.34,1.063
3/16/2017,1172.91,2381.38,1225.6,48.3,1.0738
3/17/2017,1070.13,2378.25,1228.75,48.34,1.0742
3/20/2017,1041.34,2373.47,1233,47.79,1.0754
